,Country.of.Origin,Bag.Weight,Variety,Processing.Method,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Grade,altitude_mean_km
844,Taiwan,5 kg,Typica,Washed / Wet,0,0,0,Green,0,Specialty Grade,0.7
845,Indonesia,10 kg,Typica,Other,0.11,2,0,None,6,Specialty Grade,1.3
846,Malawi,60 kg,Gesha,Washed / Wet,0.13,0,0,Green,0,Specialty Grade,1.6
847,Brazil,2 kg,Bourbon,Natural / Dry,0.11,0,0,Green,0,Specialty Grade,1.1
848,Honduras,1 kg,Caturra,Natural / Dry,0.1,0,0,Green,4,Specialty Grade,1.4
849,Mexico,2 kg,Typica,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,1.6
850,Colombia,70 kg,Caturra,Washed / Wet,0,2,0,Bluish-Green,0,Specialty Grade,1.8
851,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0,1,0,Bluish-Green,1,Specialty Grade,0
852,Brazil,60 kg,Bourbon,Semi-washed / Semi-pulped,0.12,0,0,Bluish-Green,0,Specialty Grade,1.2
853,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,1,Specialty Grade,0.4
854,Mexico,1 kg,Bourbon,Washed / Wet,0.12,0,0,Green,2,Specialty Grade,1.5
855,Mexico,1 kg,Typica,Semi-washed / Semi-pulped,0.12,0,0,Green,10,Specialty Grade,1.2
856,Brazil,60 kg,Mundo Novo,,0.02,0,0,,2,Specialty Grade,0.9
857,Colombia,70 kg,,,0.05,0,0,,0,Specialty Grade,1.7
858,United States (Hawaii),0 lbs,,,0.02,3,0,,12,Specialty Grade,0
859,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,1,Green,1,Specialty Grade,1.7
860,Vietnam,2 kg,Caturra,Washed / Wet,0.12,0,0,Bluish-Green,0,Specialty Grade,1
861,"Tanzania, United Republic Of",60 kg,Other,Washed / Wet,0.12,0,0,Bluish-Green,4,Specialty Grade,1.6
862,Brazil,5 lbs,,Natural / Dry,0.1,0,0,Bluish-Green,1,Specialty Grade,0
863,Mexico,1 kg,Bourbon,Washed / Wet,0.13,2,0,None,9,Specialty Grade,0.8
864,Mexico,1 kg,Mundo Novo,Washed / Wet,0.13,0,0,Green,23,Specialty Grade,1.2
865,Mexico,1 kg,Typica,Washed / Wet,0.11,0,0,Green,1,Specialty Grade,1.1
866,Mexico,1 kg,Caturra,Washed / Wet,0.12,10,0,Green,14,Specialty Grade,1.6
867,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,,1,Specialty Grade,1.7
868,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Green,1,Specialty Grade,1.8
869,Colombia,70 kg,,,0.08,0,0,,0,Specialty Grade,1.8
870,Brazil,60 kg,Bourbon,Natural / Dry,0.11,0,0,Green,5,Specialty Grade,0.9
871,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,0,Green,1,Specialty Grade,1.7
872,Guatemala,69 kg,Bourbon,Washed / Wet,0.12,0,1,Green,3,Specialty Grade,0.4
873,Honduras,69 kg,Catuai,Washed / Wet,0.11,0,0,Blue-Green,2,Specialty Grade,1.4
874,"Tanzania, United Republic Of",60 kg,,,0,0,0,Green,1,Specialty Grade,1.8
875,Nicaragua,69 kg,,,0.1,0,0,Green,1,Specialty Grade,0
876,Colombia,70 kg,,,0,0,1,,1,Specialty Grade,0
877,Brazil,2 kg,Yellow Bourbon,Natural / Dry,0,0,0,Green,0,Specialty Grade,0
878,"Tanzania, United Republic Of",60 kg,Other,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,1.5
879,"Tanzania, United Republic Of",60 kg,Other,Washed / Wet,0.12,0,0,Green,7,Specialty Grade,1.7
880,Brazil,2 kg,Bourbon,Washed / Wet,0.1,0,0,Green,2,Specialty Grade,1.3
881,Indonesia,4 kg,Sumatra,Semi-washed / Semi-pulped,0.11,0,0,Bluish-Green,0,Specialty Grade,0
882,Honduras,1 kg,Caturra,Natural / Dry,0.1,0,0,Green,5,Specialty Grade,1.4
883,Costa Rica,69 kg,Caturra,Washed / Wet,0.11,0,0,Green,3,Specialty Grade,1.9
884,Mexico,5 lbs,,Washed / Wet,0,0,0,Green,4,Specialty Grade,0
885,Taiwan,30 kg,Typica,Semi-washed / Semi-pulped,0.11,0,0,Green,0,Specialty Grade,0.1
886,Taiwan,30 kg,Typica,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,0.8
887,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Green,6,Specialty Grade,1.4
888,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,4,Specialty Grade,0.5
889,Mexico,1 kg,Typica,Washed / Wet,0.13,1,0,Green,13,Specialty Grade,1.7
890,Mexico,1 kg,Bourbon,Washed / Wet,0.11,0,0,Green,4,Specialty Grade,1.4
891,Mexico,1 kg,Bourbon,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,1.2
892,Mexico,1 kg,Bourbon,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,1.4
893,Mexico,1 kg,Caturra,Semi-washed / Semi-pulped,0.11,0,0,Green,4,Specialty Grade,0.9
894,United States (Hawaii),100 lbs,Hawaiian Kona,Washed / Wet,0.1,1,0,Green,1,Specialty Grade,0
895,Honduras,69 kg,Catimor,Washed / Wet,0.11,0,1,Blue-Green,3,Specialty Grade,1.2
896,Guatemala,69 kg,Bourbon,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,190.2
897,Taiwan,50 kg,Typica,Washed / Wet,0.1,0,0,Blue-Green,0,Specialty Grade,0.8
898,Costa Rica,69 kg,Caturra,Washed / Wet,0.12,0,0,Green,1,Specialty Grade,0
899,"Tanzania, United Republic Of",60 kg,Other,Washed / Wet,0.12,0,0,Green,5,Specialty Grade,1.8
900,Malawi,60 kg,Gesha,Washed / Wet,0.13,0,0,Green,0,Specialty Grade,1.1
901,Taiwan,20 kg,Typica,Semi-washed / Semi-pulped,0,0,0,,0,Specialty Grade,0.8
902,Brazil,60 kg,Yellow Bourbon,Washed / Wet,0.12,0,0,Blue-Green,3,Specialty Grade,1.3
903,Guatemala,69 kg,Bourbon,Washed / Wet,0.12,0,0,Green,1,Specialty Grade,0.4
904,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Green,9,Specialty Grade,1.4
905,Mexico,1 kg,Marigojipe,Natural / Dry,0.11,0,0,,0,Specialty Grade,1.6
906,Mexico,1 kg,Typica,Natural / Dry,0.11,0,0,,2,Specialty Grade,1.7
907,Thailand,50 kg,,,0.01,0,0,,0,Specialty Grade,0.5
908,Thailand,60 kg,,,0.2,0,0,,0,Specialty Grade,0
909,Costa Rica,60 kg,,,0,0,0,,1,Specialty Grade,0.5
910,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,0,Green,0,Specialty Grade,0.4
911,Nicaragua,69 kg,Caturra,Other,0.11,0,0,Green,3,Specialty Grade,1.1
912,Honduras,69 kg,Caturra,Washed / Wet,0.1,0,0,Green,5,Specialty Grade,1.4
913,Guatemala,69 kg,Bourbon,,0.12,0,0,Green,0,Specialty Grade,0
914,Taiwan,2 kg,Typica,Natural / Dry,0.12,0,0,Green,2,Specialty Grade,0.2
915,Myanmar,1 kg,Catuai,Washed / Wet,0,0,0,Green,4,Specialty Grade,0.4
916,Costa Rica,1 kg,Caturra,Washed / Wet,0.12,1,0,Green,2,Specialty Grade,1.2
917,Malawi,60 kg,Gesha,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,1.6
918,Guatemala,69 kg,Other,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,0.4
919,Taiwan,20 kg,,,,,,,,,0
921,Brazil,60 kg,Yellow Bourbon,Semi-washed / Semi-pulped,0,1,0,Green,1,Specialty Grade,1.2
922,Haiti,4 lbs,Blue Mountain,Washed / Wet,0.11,0,0,Bluish-Green,0,Specialty Grade,0.8
923,Taiwan,30 kg,Typica,Other,0.11,0,0,Green,0,Specialty Grade,0.6
924,Mexico,1 kg,Typica,Washed / Wet,0.13,0,0,Green,2,Specialty Grade,1.2
925,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Green,5,Specialty Grade,1.6
926,Mexico,1 kg,Catuai,Washed / Wet,0.12,0,0,Green,10,Specialty Grade,1.1
927,Mexico,1 kg,Typica,Semi-washed / Semi-pulped,0.11,0,0,Green,6,Specialty Grade,1
928,Mexico,80 kg,Bourbon,Washed / Wet,0.13,0,0,Green,5,Specialty Grade,1.2
929,Mexico,1 kg,Typica,Natural / Dry,0.11,0,0,Green,3,Specialty Grade,1.1
930,Indonesia,60 kg,Other,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,1.4
931,Brazil,1 kg,Bourbon,Semi-washed / Semi-pulped,0.12,0,0,Blue-Green,2,Specialty Grade,0.1
932,Guatemala,1 kg,Bourbon,Washed / Wet,0.11,0,0,Green,1,Specialty Grade,0
933,Colombia,70 kg,,,0.06,1,0,,0,Specialty Grade,1.4
934,United States (Hawaii),1,,,0,0,0,,17,Specialty Grade,0
935,Mexico,69 kg,Mundo Novo,Washed / Wet,0.12,1,5,Green,17,Specialty Grade,1.1
936,Guatemala,69 kg,Catuai,Washed / Wet,0.1,0,0,Green,0,Specialty Grade,0.4
937,Brazil,60 kg,Catuai,Natural / Dry,0.11,0,0,Green,2,Specialty Grade,1.1
938,Honduras,1 kg,Catuai,Washed / Wet,0.12,0,0,Green,1,Specialty Grade,1.4
939,Taiwan,60 kg,Typica,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,0.1
940,Malawi,60 kg,Gesha,Washed / Wet,0.12,0,0,Bluish-Green,0,Specialty Grade,1.4
941,Brazil,2 kg,Bourbon,Natural / Dry,0,0,0,Green,0,Specialty Grade,1.1
942,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,0,Green,6,Specialty Grade,1.6
943,Mexico,2 kg,Typica,Washed / Wet,0,1,0,Green,1,Specialty Grade,1.6
944,Peru,5 lbs,,Washed / Wet,0.1,1,0,Bluish-Green,5,Specialty Grade,0
945,Guatemala,69 kg,Bourbon,Washed / Wet,0.12,0,0,Green,4,Specialty Grade,0.4
946,Mexico,1 kg,Caturra,Washed / Wet,0.13,1,0,None,8,Specialty Grade,0.8
947,Mexico,1 kg,Typica,Washed / Wet,0.13,0,0,,1,Specialty Grade,1.1
948,Colombia,70 kg,Caturra,Natural / Dry,0.11,0,0,Green,0,Specialty Grade,1.8
949,Colombia,70 kg,,,0.16,0,0,,2,Specialty Grade,1.9
950,United States (Hawaii),0 lbs,Peaberry,,0.01,0,0,,10,Specialty Grade,0
951,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,,0,Specialty Grade,0
952,Honduras,69 kg,Caturra,Washed / Wet,0.11,0,2,Bluish-Green,3,Specialty Grade,1.5
953,Mexico,69 kg,,,0.12,0,2,Green,0,Specialty Grade,1.1
954,Brazil,60 kg,Catuai,Natural / Dry,0.11,0,0,Green,14,Specialty Grade,1.1
955,Honduras,1 kg,Catuai,Washed / Wet,0.09,0,0,Green,4,Specialty Grade,1.4
956,Brazil,60 kg,Yellow Bourbon,Other,0.12,0,0,Green,6,Specialty Grade,1.2
957,Philippines,2 kg,Other,Washed / Wet,0.14,0,0,Green,3,Specialty Grade,1.4
958,Malawi,60 kg,Gesha,Washed / Wet,0.13,0,0,Green,1,Specialty Grade,1.2
959,Honduras,1 kg,Catuai,Washed / Wet,0.12,0,0,Green,3,Specialty Grade,1.4
960,Mexico,1 kg,Typica,Washed / Wet,0.13,4,0,Green,13,Specialty Grade,1.8
961,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,None,4,Specialty Grade,1
962,Brazil,5 kg,,,,,,,,,0
965,Taiwan,50 kg,Typica,Natural / Dry,0.12,0,0,Green,0,Specialty Grade,0.7
966,Brazil,2 kg,Yellow Bourbon,Natural / Dry,0,0,0,Green,1,Specialty Grade,0
967,Nicaragua,69 kg,Catuai,Washed / Wet,0.1,0,0,Green,4,Specialty Grade,1.1
968,Honduras,1 kg,Catuai,Washed / Wet,0.12,0,0,Green,1,Specialty Grade,1.4
969,Guatemala,55 lbs,Pacamara,Washed / Wet,0.09,0,0,Bluish-Green,2,Specialty Grade,1.7
970,"Tanzania, United Republic Of",60 kg,Other,Washed / Wet,0.13,0,0,Green,5,Specialty Grade,1.7
971,Taiwan,30 kg,Typica,Semi-washed / Semi-pulped,0.11,0,0,Green,0,Specialty Grade,0.7
972,Guatemala,69 kg,Caturra,Washed / Wet,0.11,0,0,Green,4,Specialty Grade,0.5
973,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Green,1,Specialty Grade,1.5
974,Nicaragua,69 kg,,Washed / Wet,0.09,0,0,Green,7,Specialty Grade,1.2
975,"Tanzania, United Republic Of",60 kg,Bourbon,Washed / Wet,0.12,0,0,Green,2,Specialty Grade,1.1
976,Mexico,1 kg,Caturra,Washed / Wet,0.12,0,0,Green,10,Specialty Grade,1.2
977,Costa Rica,18975 kg,Caturra,Washed / Wet,0.11,0,0,Bluish-Green,0,Specialty Grade,1.3
978,Honduras,1 kg,Catuai,Natural / Dry,0.13,0,0,Green,1,Specialty Grade,1.4
979,Thailand,20 kg,Caturra,Washed / Wet,0.12,0,0,Blue-Green,0,Specialty Grade,1.4
980,Philippines,2 kg,Typica,Natural / Dry,0,0,0,None,4,Specialty Grade,1.2
981,"Tanzania, United Republic Of",60 kg,Bourbon,Washed / Wet,0.12,0,0,Bluish-Green,2,Specialty Grade,1.6
982,Malawi,60 kg,Caturra,Washed / Wet,0.12,0,0,Green,12,Specialty Grade,1
983,Costa Rica,1 kg,Catuai,Washed / Wet,0.11,0,0,Green,3,Specialty Grade,1.3
984,Brazil,1 kg,Catuai,Natural / Dry,0.11,0,0,Green,3,Specialty Grade,0
985,Mexico,1 kg,Typica,Natural / Dry,0.13,3,0,Green,7,Specialty Grade,1.8
986,Guatemala,1 kg,Caturra,Washed / Wet,0.12,0,0,Green,4,Specialty Grade,1.4
987,Brazil,60 kg,Mundo Novo,Natural / Dry,0.12,0,0,Green,1,Specialty Grade,1
988,United States (Hawaii),100 lbs,,,0.04,3,0,,0,Specialty Grade,0
989,Ethiopia,60 kg,,Natural / Dry,0.11,0,0,,1,Specialty Grade,0
990,Brazil,60 kg,Mundo Novo,Natural / Dry,0.11,5,0,Green,8,Specialty Grade,0.7
991,Nicaragua,69 kg,Other,Washed / Wet,0.11,0,0,,1,Specialty Grade,1.1
992,United States,5 lbs,Pache Comun,Natural / Dry,0,0,0,,0,Specialty Grade,0.5
993,"Tanzania, United Republic Of",60 kg,Other,Washed / Wet,0.13,0,0,Green,2,Specialty Grade,1.5
994,Costa Rica,1 kg,Caturra,Washed / Wet,0.13,0,0,Green,0,Specialty Grade,1.5
995,United States (Puerto Rico),5 lbs,Other,Washed / Wet,0,0,0,Green,0,Specialty Grade,0.3
996,Mexico,1 kg,Typica,Washed / Wet,0.13,5,0,None,16,Specialty Grade,1.7
997,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Green,2,Specialty Grade,1.3
998,Mexico,1 kg,Typica,Washed / Wet,0.11,0,0,Green,5,Specialty Grade,1.6
999,Mexico,1 kg,Typica,Washed / Wet,0.1,0,0,Green,1,Specialty Grade,1.2
1000,United States (Hawaii),100 lbs,Hawaiian Kona,Washed / Wet,0.06,0,0,Blue-Green,0,Specialty Grade,0
1001,Brazil,59 kg,Bourbon,Pulped natural / honey,0.11,0,6,Green,9,Specialty Grade,0
1002,El Salvador,69 kg,Bourbon,Washed / Wet,0,0,2,Green,6,Specialty Grade,1.4
1003,Brazil,59 kg,Yellow Bourbon,Pulped natural / honey,0.11,0,2,Bluish-Green,3,Specialty Grade,0
1004,Guatemala,69 kg,Bourbon,Washed / Wet,0.09,0,0,Green,8,Specialty Grade,3.3
1005,Colombia,70 kg,Caturra,Washed / Wet,0,0,4,Green,4,Specialty Grade,1.6
1006,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,1,Specialty Grade,0.4
1007,Taiwan,5 kg,Typica,Washed / Wet,0.12,0,0,Bluish-Green,0,Specialty Grade,0.8
1008,Honduras,18975 kg,Caturra,Natural / Dry,0.12,0,0,Green,1,Specialty Grade,1.4
1009,Brazil,60 kg,Mundo Novo,Natural / Dry,0.12,0,0,Green,0,Specialty Grade,0
1010,"Tanzania, United Republic Of",60 kg,Other,Washed / Wet,0.12,0,0,Green,5,Specialty Grade,1.5
1011,Uganda,60 kg,SL14,Natural / Dry,0.12,0,0,Green,3,Specialty Grade,1.7
1012,Taiwan,30 kg,Typica,Semi-washed / Semi-pulped,0.11,0,0,Green,0,Specialty Grade,1.1
1013,Thailand,1 kg,,Washed / Wet,0,0,0,Green,3,Specialty Grade,0.8
1014,Mexico,1 kg,Other,Washed / Wet,0.12,0,0,Green,12,Specialty Grade,1
1015,Mexico,1 kg,Typica,Washed / Wet,0,0,0,Green,8,Specialty Grade,1.1
1016,Taiwan,1 kg,Other,Washed / Wet,0,0,0,Blue-Green,0,Specialty Grade,0.2
1017,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,0,Green,2,Specialty Grade,1.9
1018,Kenya,60 kg,SL28,Washed / Wet,0.11,0,0,Green,3,Specialty Grade,1.6
1019,Mexico,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,11,Specialty Grade,1.1
1020,Myanmar,2 kg,Other,Other,0,0,0,,5,Specialty Grade,0.3
1021,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0.1,2,0,Bluish-Green,5,Specialty Grade,0
1022,"Tanzania, United Republic Of",60 kg,Other,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,1.7
1023,Brazil,60 kg,Yellow Bourbon,Natural / Dry,0.12,0,0,Green,8,Specialty Grade,1.2
1024,Taiwan,60 kg,Typica,Washed / Wet,0.09,0,0,Green,0,Specialty Grade,0.6
1025,Brazil,2 kg,Bourbon,Natural / Dry,0.1,0,0,None,0,Specialty Grade,1.1
1026,Nicaragua,1 lbs,Caturra,Washed / Wet,0.1,1,0,Green,3,Specialty Grade,1.1
1027,Guatemala,69 kg,Pacas,Washed / Wet,0.12,2,0,Green,5,Specialty Grade,0.5
1028,Taiwan,30 kg,Typica,Washed / Wet,0.11,0,0,,0,Specialty Grade,0.9
1029,Taiwan,30 kg,Typica,Other,0.11,0,0,Green,0,Specialty Grade,0.7
1030,Taiwan,20 kg,Typica,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,0.3
1031,Mexico,1 kg,Typica,Washed / Wet,0.13,0,0,Green,12,Specialty Grade,1.2
1032,Thailand,1 lbs,Peaberry,,0,0,0,,0,Specialty Grade,0
1033,Laos,50 kg,Catimor,Washed / Wet,0,0,0,Green,0,Specialty Grade,1.3
1034,Guatemala,1 kg,Caturra,Washed / Wet,0.11,0,0,Green,1,Specialty Grade,1.2
1035,Mexico,1 kg,Catuai,Semi-washed / Semi-pulped,0.13,0,0,Green,7,Specialty Grade,1.2
1036,Mexico,1 kg,Typica,Washed / Wet,0.11,0,0,Green,3,Specialty Grade,1.1
1037,Mexico,1 kg,Bourbon,Washed / Wet,0.13,0,0,Green,1,Specialty Grade,0.1
1038,United States (Hawaii),100 lbs,Hawaiian Kona,Washed / Wet,0.1,2,0,Blue-Green,0,Specialty Grade,0
1039,Colombia,70 kg,,,0.01,0,0,,1,Specialty Grade,1.8
1040,Brazil,60 kg,,Natural / Dry,0,0,0,Green,1,Specialty Grade,0
1041,Myanmar,2 kg,Catuai,Washed / Wet,0,0,0,Green,2,Specialty Grade,3.8
1042,Guatemala,69 kg,Caturra,Washed / Wet,0.12,0,0,Green,1,Specialty Grade,0.5
1043,Nicaragua,69 kg,Other,Washed / Wet,0.12,0,0,Green,5,Specialty Grade,110
1044,Honduras,1 kg,Caturra,Natural / Dry,0.11,0,0,Green,2,Specialty Grade,1.4
1045,Panama,60 kg,Caturra,Other,0.11,1,0,Green,4,Specialty Grade,1.7
1046,Honduras,1 kg,Catuai,Washed / Wet,0.09,0,0,Green,2,Specialty Grade,1.4
1047,Honduras,1 kg,Catuai,Natural / Dry,0.13,0,0,Green,1,Specialty Grade,1.4
1048,Costa Rica,3 lbs,Caturra,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,1.3
1049,Mexico,1 kg,Typica,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,1.2
1050,Haiti,2 kg,Typica,Washed / Wet,0.12,0,0,Green,0,Specialty Grade,1
1051,United States (Hawaii),2 lbs,Arusha,Natural / Dry,0.13,0,0,Bluish-Green,6,Specialty Grade,0
1052,Taiwan,1 kg,Typica,Other,0,0,0,Green,1,Specialty Grade,0
1053,Indonesia,30 kg,Mandheling,Semi-washed / Semi-pulped,0.13,0,0,Blue-Green,1,Specialty Grade,1.4
1054,Guatemala,60 kg,Bourbon,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,1.5
1055,Costa Rica,1 kg,Caturra,Washed / Wet,0.11,0,0,Blue-Green,4,Specialty Grade,0.2
1056,Malawi,60 kg,Caturra,Washed / Wet,0.12,0,0,Bluish-Green,1,Specialty Grade,1
1057,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Green,4,Specialty Grade,1.2
1058,Colombia,70 kg,Caturra,Natural / Dry,0,0,0,,1,Specialty Grade,1.6
1059,Guatemala,69 kg,Bourbon,Washed / Wet,0.12,0,0,Green,5,Specialty Grade,1.6
1060,Guatemala,1 kg,Bourbon,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,0
1061,Guatemala,1 kg,Bourbon,Washed / Wet,0.11,0,0,Green,3,Specialty Grade,0
1062,Colombia,70 kg,,,0.18,0,0,,2,Specialty Grade,0
1063,Brazil,60 kg,,,0.11,0,0,Green,7,Specialty Grade,0
1064,Nicaragua,69 kg,,,0.11,0,1,Green,0,Specialty Grade,0
1065,"Tanzania, United Republic Of",60 kg,Other,Washed / Wet,0.12,0,0,Bluish-Green,1,Specialty Grade,1.4
1066,Brazil,2 kg,Bourbon,Semi-washed / Semi-pulped,0,0,0,Green,3,Specialty Grade,1.2
1067,Honduras,69 kg,Caturra,Washed / Wet,0.11,0,0,Green,5,Specialty Grade,1.4
1068,Guatemala,69 kg,Bourbon,Natural / Dry,0.11,0,0,Green,5,Specialty Grade,0.4
1069,United States (Hawaii),100 lbs,,,0,0,0,,0,Specialty Grade,0
1070,Colombia,70 kg,,,0,0,0,,2,Specialty Grade,0
1071,Taiwan,5 kg,Other,Natural / Dry,0,0,0,Blue-Green,0,Specialty Grade,0.1
1072,Guatemala,69 kg,Caturra,Washed / Wet,0.1,0,0,Green,4,Specialty Grade,1.5
1073,Honduras,69 kg,Catuai,Washed / Wet,0.11,0,0,Green,5,Specialty Grade,1.7
1074,Mauritius,2 kg,,,0.12,0,0,Green,0,Specialty Grade,0.3
1075,Brazil,60 kg,Yellow Bourbon,Semi-washed / Semi-pulped,0.11,0,0,Green,3,Specialty Grade,1.2
1076,Myanmar,2 kg,Other,Washed / Wet,0,0,0,Green,2,Specialty Grade,3.8
1077,Guatemala,69 kg,Other,Washed / Wet,0.11,0,0,Green,3,Specialty Grade,0.4
1078,Brazil,60 kg,Yellow Bourbon,Semi-washed / Semi-pulped,0.1,0,0,None,10,Specialty Grade,1.2
1079,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0.11,1,0,Green,0,Specialty Grade,0
1080,Guatemala,1 kg,Bourbon,Washed / Wet,0.12,1,0,Green,1,Specialty Grade,0.6
1081,Mexico,1 kg,Typica,Washed / Wet,0.15,0,0,None,1,Specialty Grade,1.4
1082,Honduras,69 kg,,,0.1,0,0,Green,0,Specialty Grade,1.4
1083,Taiwan,60 kg,Typica,Washed / Wet,0.14,0,0,Green,0,Specialty Grade,0.6
1084,El Salvador,2 kg,Bourbon,Washed / Wet,0,0,0,Green,1,Specialty Grade,1.4
1085,China,2 kg,Other,Washed / Wet,0.17,0,0,Green,14,Specialty Grade,1.7
1086,Taiwan,30 kg,,,,,,,,,0
1091,Mexico,1 kg,Typica,Washed / Wet,0.1,2,0,Green,4,Specialty Grade,1.1
1092,Mexico,1 kg,Caturra,Washed / Wet,0.12,4,0,Green,16,Specialty Grade,1.6
1093,Burundi,60 kg,,,0.12,0,0,Green,0,Specialty Grade,1.7
1094,"Tanzania, United Republic Of",60 kg,Bourbon,Washed / Wet,0.13,0,0,Green,5,Specialty Grade,1.7
1095,"Tanzania, United Republic Of",60 kg,Other,Washed / Wet,0.12,0,0,Bluish-Green,5,Specialty Grade,0
1096,Taiwan,30 kg,Yellow Bourbon,Other,0.11,0,0,Green,0,Specialty Grade,0.6
1097,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,1,0,Green,4,Specialty Grade,0.4
1098,Mexico,1 kg,Typica,Semi-washed / Semi-pulped,0.11,0,0,Green,21,Specialty Grade,0.9
1099,United States (Hawaii),100 lbs,Hawaiian Kona,Washed / Wet,0.12,5,0,Green,7,Specialty Grade,0
1100,Ethiopia,6,,,0.1,0,0,,1,Specialty Grade,0
1101,Brazil,59 kg,Catuai,Natural / Dry,0.11,0,1,Green,1,Specialty Grade,1
1102,Honduras,69 kg,Caturra,Natural / Dry,0.1,0,0,Green,4,Specialty Grade,1.4
1103,Mexico,69 kg,Caturra,Washed / Wet,0.1,0,0,Green,2,Specialty Grade,1.6
1104,Myanmar,2 kg,Other,Natural / Dry,0.11,1,0,Green,26,Specialty Grade,0.3
1105,Myanmar,2 kg,Catuai,Natural / Dry,0,0,0,Green,1,Specialty Grade,4.3
1106,Nicaragua,69 kg,Caturra,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,0.9
1107,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0.12,4,0,Green,13,Specialty Grade,0
1108,Colombia,2 kg,Typica,Washed / Wet,0.1,0,0,Green,0,Specialty Grade,0
1109,Taiwan,30 kg,Typica,Semi-washed / Semi-pulped,0.11,0,0,Green,0,Specialty Grade,0.7
1110,Guatemala,1 kg,Caturra,Washed / Wet,0.11,1,0,Green,12,Specialty Grade,1.4
1111,Mexico,1 kg,Caturra,Washed / Wet,0.11,2,0,None,8,Specialty Grade,0.8
1112,Vietnam,2 kg,Catimor,Other,0,0,0,,2,Specialty Grade,1.6
1113,Nicaragua,2 kg,Caturra,Washed / Wet,0.11,0,0,,2,Specialty Grade,1.2
1114,Honduras,1 kg,Catuai,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,1.4
1115,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,0.4
1116,Mexico,1 kg,Typica,Washed / Wet,0.11,0,0,Green,2,Specialty Grade,1.2
1117,Mexico,1 kg,Typica,Washed / Wet,0.14,1,0,Green,2,Specialty Grade,1.6
1118,Mexico,1 kg,Bourbon,Washed / Wet,0.12,0,0,Green,12,Specialty Grade,1
1119,Guatemala,1 kg,Bourbon,Washed / Wet,0.11,0,0,Green,5,Specialty Grade,0.4
1120,United States (Hawaii),100 lbs,,,0.05,12,0,,1,Specialty Grade,0
1121,Brazil,60 kg,Bourbon,Pulped natural / honey,0.11,0,0,Green,5,Specialty Grade,1.1
1122,Taiwan,60 kg,Typica,Washed / Wet,0.07,0,0,Green,0,Specialty Grade,0.8
1123,Nicaragua,5 lbs,,Natural / Dry,0.1,0,0,Green,4,Specialty Grade,0
1124,Taiwan,30 kg,Typica,Other,0.11,0,0,Green,0,Specialty Grade,0.2
1125,Taiwan,30 kg,Typica,Washed / Wet,0.11,0,0,Green,0,Specialty Grade,0.1
1126,Taiwan,30 kg,Typica,Semi-washed / Semi-pulped,0.11,0,0,Green,0,Specialty Grade,0.2
1127,Mexico,1 kg,Typica,Washed / Wet,0.15,0,0,None,0,Specialty Grade,1.3
